! Time(s)	BldPitch1(rad)	BldPitch2(rad)	BldPitch3(rad)	GenTq(Nm)	YawRate(rad/s)	Cable1(m)	StC1(N)
0.00000000	0.00000000	0.00000000	0.00000000	40000.00000000	0.00000000	0.50000000	1000000.00000000
0.02500000	0.00010966	0.00010966	0.00010966	40000.00000000	0.00000157	0.50078539	1000471.23715394
0.05000000	0.00021932	0.00021932	0.00021932	40000.00000000	0.00000314	0.50157073	1000942.46384331
0.07500000	0.00032898	0.00032898	0.00032898	40000.00000000	0.00000471	0.50235598	1001413.66960380
0.10000000	0.00043864	0.00043864	0.00043864	40000.00000000	0.00000628	0.50314108	1001884.84397154
0.12500000	0.00054829	0.00054829	0.00054829	40000.00000000	0.00000785	0.50392598	1002355.97648336
0.15000000	0.00065793	0.00065793	0.00065793	40000.00000000	0.00000942	0.50471065	1002827.05667703
0.17500000	0.00076757	0.00076757	0.00076757	40000.00000000	0.00001100	0.50549502	1003298.07409146
0.20000000	0.00087721	0.00087721	0.00087721	40000.00000000	0.00001257	0.50627905	1003769.01826699
0.22500000	0.00098683	0.00098683	0.00098683	40000.00000000	0.00001414	0.50706270	1004239.87874556
0.25000000	0.00109644	0.00109644	0.00109644	40000.00000000	0.00001571	0.50784591	1004710.64507096
0.27500000	0.00120604	0.00120604	0.00120604	40000.00000000	0.00001728	0.50862864	1005181.30678911
0.30000000	0.00131564	0.00131564	0.00131564	40000.00000000	0.00001885	0.50941083	1005651.85344820
0.32500000	0.00142521	0.00142521	0.00142521	40000.00000000	0.00002042	0.51019245	1006122.27459903
0.35000000	0.00153478	0.00153478	0.00153478	40000.00000000	0.00002199	0.51097343	1006592.55979514
0.37500000	0.00164433	0.00164433	0.00164433	40000.00000000	0.00002356	0.51175374	1007062.69859312
0.40000000	0.00175386	0.00175386	0.00175386	40000.00000000	0.00002513	0.51253332	1007532.68055279
0.42500000	0.00186337	0.00186337	0.00186337	40000.00000000	0.00002670	0.51331213	1008002.49523748
0.45000000	0.00197287	0.00197287	0.00197287	40000.00000000	0.00002827	0.51409012	1008472.13221421
0.47500000	0.00208235	0.00208235	0.00208235	40000.00000000	0.00002984	0.51486724	1008941.58105395
0.50000000	0.00219180	0.00219180	0.00219180	40000.00000000	0.00003141	0.51564345	1009410.83133185
0.52500000	0.00230124	0.00230124	0.00230124	40000.00000000	0.00003298	0.51641868	1009879.87262748
0.55000000	0.00241065	0.00241065	0.00241065	40000.00000000	0.00003455	0.51719291	1010348.69452504
0.57500000	0.00252004	0.00252004	0.00252004	40000.00000000	0.00003612	0.51796607	1010817.28661360
0.60000000	0.00262940	0.00262940	0.00262940	40000.00000000	0.00003769	0.51873813	1011285.63848735
0.62500000	0.00273874	0.00273874	0.00273874	40000.00000000	0.00003926	0.51950903	1011753.73974578
0.65000000	0.00284805	0.00284805	0.00284805	40000.00000000	0.00004083	0.52027873	1012221.57999399
0.67500000	0.00295733	0.00295733	0.00295733	40000.00000000	0.00004240	0.52104718	1012689.14884284
0.70000000	0.00306659	0.00306659	0.00306659	40000.00000000	0.00004397	0.52181432	1013156.43590923
0.72500000	0.00317581	0.00317581	0.00317581	40000.00000000	0.00004554	0.52258013	1013623.43081632
0.75000000	0.00328500	0.00328500	0.00328500	40000.00000000	0.00004711	0.52334454	1014090.12319376
0.77500000	0.00339416	0.00339416	0.00339416	40000.00000000	0.00004868	0.52410751	1014556.50267791
0.80000000	0.00350328	0.00350328	0.00350328	40000.00000000	0.00005024	0.52486899	1015022.55891208
0.82500000	0.00361238	0.00361238	0.00361238	40000.00000000	0.00005181	0.52562894	1015488.28154676
0.85000000	0.00372143	0.00372143	0.00372143	40000.00000000	0.00005338	0.52638730	1015953.66023985
0.87500000	0.00383045	0.00383045	0.00383045	40000.00000000	0.00005495	0.52714404	1016418.68465689
0.90000000	0.00393943	0.00393943	0.00393943	40000.00000000	0.00005652	0.52789911	1016883.34447127
0.92500000	0.00404837	0.00404837	0.00404837	40000.00000000	0.00005809	0.52865246	1017347.62936451
0.95000000	0.00415728	0.00415728	0.00415728	40000.00000000	0.00005965	0.52940403	1017811.52902642
0.97500000	0.00426614	0.00426614	0.00426614	40000.00000000	0.00006122	0.53015380	1018275.03315539
