! Time(s)	BldPitch1(rad)	BldPitch2(rad)	BldPitch3(rad)	GenTq(Nm)	YawRate(rad/s)
0.00000000	0.00000000	0.00000000	0.00000000	40000.00000000	0.00000000
0.02500000	0.00010966	0.00010966	0.00010966	40000.00000000	0.00000157
0.05000000	0.00021932	0.00021932	0.00021932	40000.00000000	0.00000314
0.07500000	0.00032898	0.00032898	0.00032898	40000.00000000	0.00000471
0.10000000	0.00043864	0.00043864	0.00043864	40000.00000000	0.00000628
0.12500000	0.00054829	0.00054829	0.00054829	40000.00000000	0.00000785
0.15000000	0.00065793	0.00065793	0.00065793	40000.00000000	0.00000942
0.17500000	0.00076757	0.00076757	0.00076757	40000.00000000	0.00001100
0.20000000	0.00087721	0.00087721	0.00087721	40000.00000000	0.00001257
0.22500000	0.00098683	0.00098683	0.00098683	40000.00000000	0.00001414
0.25000000	0.00109644	0.00109644	0.00109644	40000.00000000	0.00001571
0.27500000	0.00120604	0.00120604	0.00120604	40000.00000000	0.00001728
0.30000000	0.00131564	0.00131564	0.00131564	40000.00000000	0.00001885
0.32500000	0.00142521	0.00142521	0.00142521	40000.00000000	0.00002042
0.35000000	0.00153478	0.00153478	0.00153478	40000.00000000	0.00002199
0.37500000	0.00164433	0.00164433	0.00164433	40000.00000000	0.00002356
0.40000000	0.00175386	0.00175386	0.00175386	40000.00000000	0.00002513
0.42500000	0.00186337	0.00186337	0.00186337	40000.00000000	0.00002670
0.45000000	0.00197287	0.00197287	0.00197287	40000.00000000	0.00002827
0.47500000	0.00208235	0.00208235	0.00208235	40000.00000000	0.00002984
0.50000000	0.00219180	0.00219180	0.00219180	40000.00000000	0.00003141
0.52500000	0.00230124	0.00230124	0.00230124	40000.00000000	0.00003298
0.55000000	0.00241065	0.00241065	0.00241065	40000.00000000	0.00003455
0.57500000	0.00252004	0.00252004	0.00252004	40000.00000000	0.00003612
0.60000000	0.00262940	0.00262940	0.00262940	40000.00000000	0.00003769
0.62500000	0.00273874	0.00273874	0.00273874	40000.00000000	0.00003926
0.65000000	0.00284805	0.00284805	0.00284805	40000.00000000	0.00004083
0.67500000	0.00295733	0.00295733	0.00295733	40000.00000000	0.00004240
0.70000000	0.00306659	0.00306659	0.00306659	40000.00000000	0.00004397
0.72500000	0.00317581	0.00317581	0.00317581	40000.00000000	0.00004554
0.75000000	0.00328500	0.00328500	0.00328500	40000.00000000	0.00004711
0.77500000	0.00339416	0.00339416	0.00339416	40000.00000000	0.00004868
0.80000000	0.00350328	0.00350328	0.00350328	40000.00000000	0.00005024
0.82500000	0.00361238	0.00361238	0.00361238	40000.00000000	0.00005181
0.85000000	0.00372143	0.00372143	0.00372143	40000.00000000	0.00005338
0.87500000	0.00383045	0.00383045	0.00383045	40000.00000000	0.00005495
0.90000000	0.00393943	0.00393943	0.00393943	40000.00000000	0.00005652
0.92500000	0.00404837	0.00404837	0.00404837	40000.00000000	0.00005809
0.95000000	0.00415728	0.00415728	0.00415728	40000.00000000	0.00005965
0.97500000	0.00426614	0.00426614	0.00426614	40000.00000000	0.00006122
1.00000000	0.00437496	0.00437496	0.00437496	40000.00000000	0.00006279
1.02500000	0.00448373	0.00448373	0.00448373	40000.00000000	0.00006436
1.05000000	0.00459246	0.00459246	0.00459246	40000.00000000	0.00006593
1.07500000	0.00470115	0.00470115	0.00470115	40000.00000000	0.00006749
1.10000000	0.00480979	0.00480979	0.00480979	40000.00000000	0.00006906
1.12500000	0.00491838	0.00491838	0.00491838	40000.00000000	0.00007063
1.15000000	0.00502692	0.00502692	0.00502692	40000.00000000	0.00007219
1.17500000	0.00513542	0.00513542	0.00513542	40000.00000000	0.00007376
1.20000000	0.00524386	0.00524386	0.00524386	40000.00000000	0.00007533
1.22500000	0.00535225	0.00535225	0.00535225	40000.00000000	0.00007689
1.25000000	0.00546059	0.00546059	0.00546059	40000.00000000	0.00007846
1.27500000	0.00556888	0.00556888	0.00556888	40000.00000000	0.00008002
1.30000000	0.00567711	0.00567711	0.00567711	40000.00000000	0.00008159
1.32500000	0.00578528	0.00578528	0.00578528	40000.00000000	0.00008316
1.35000000	0.00589340	0.00589340	0.00589340	40000.00000000	0.00008472
1.37500000	0.00600146	0.00600146	0.00600146	40000.00000000	0.00008629
1.40000000	0.00610946	0.00610946	0.00610946	40000.00000000	0.00008785
1.42500000	0.00621740	0.00621740	0.00621740	40000.00000000	0.00008942
1.45000000	0.00632527	0.00632527	0.00632527	40000.00000000	0.00009098
1.47500000	0.00643309	0.00643309	0.00643309	40000.00000000	0.00009254
1.50000000	0.00654084	0.00654084	0.00654084	40000.00000000	0.00009411
1.52500000	0.00664853	0.00664853	0.00664853	40000.00000000	0.00009567
1.55000000	0.00675615	0.00675615	0.00675615	40000.00000000	0.00009724
1.57500000	0.00686371	0.00686371	0.00686371	40000.00000000	0.00009880
1.60000000	0.00697119	0.00697119	0.00697119	40000.00000000	0.00010036
1.62500000	0.00707861	0.00707861	0.00707861	40000.00000000	0.00010192
1.65000000	0.00718596	0.00718596	0.00718596	40000.00000000	0.00010349
1.67500000	0.00729324	0.00729324	0.00729324	40000.00000000	0.00010505
1.70000000	0.00740044	0.00740044	0.00740044	40000.00000000	0.00010661
1.72500000	0.00750758	0.00750758	0.00750758	40000.00000000	0.00010817
1.75000000	0.00761464	0.00761464	0.00761464	40000.00000000	0.00010973
1.77500000	0.00772162	0.00772162	0.00772162	40000.00000000	0.00011130
1.80000000	0.00782853	0.00782853	0.00782853	40000.00000000	0.00011286
1.82500000	0.00793536	0.00793536	0.00793536	40000.00000000	0.00011442
1.85000000	0.00804211	0.00804211	0.00804211	40000.00000000	0.00011598
1.87500000	0.00814878	0.00814878	0.00814878	40000.00000000	0.00011754
1.90000000	0.00825537	0.00825537	0.00825537	40000.00000000	0.00011910
1.92500000	0.00836188	0.00836188	0.00836188	40000.00000000	0.00012066
1.95000000	0.00846831	0.00846831	0.00846831	40000.00000000	0.00012222
1.97500000	0.00857466	0.00857466	0.00857466	40000.00000000	0.00012377
2.00000000	0.00868091	0.00868091	0.00868091	40000.00000000	0.00012533
2.02500000	0.00878709	0.00878709	0.00878709	40000.00000000	0.00012689
2.05000000	0.00889318	0.00889318	0.00889318	40000.00000000	0.00012845
2.07500000	0.00899918	0.00899918	0.00899918	40000.00000000	0.00013001
2.10000000	0.00910509	0.00910509	0.00910509	40000.00000000	0.00013156
2.12500000	0.00921091	0.00921091	0.00921091	40000.00000000	0.00013312
2.15000000	0.00931664	0.00931664	0.00931664	40000.00000000	0.00013468
2.17500000	0.00942227	0.00942227	0.00942227	40000.00000000	0.00013623
2.20000000	0.00952782	0.00952782	0.00952782	40000.00000000	0.00013779
2.22500000	0.00963327	0.00963327	0.00963327	40000.00000000	0.00013935
2.25000000	0.00973863	0.00973863	0.00973863	40000.00000000	0.00014090
2.27500000	0.00984389	0.00984389	0.00984389	40000.00000000	0.00014246
2.30000000	0.00994905	0.00994905	0.00994905	40000.00000000	0.00014401
2.32500000	0.01005411	0.01005411	0.01005411	40000.00000000	0.00014557
2.35000000	0.01015908	0.01015908	0.01015908	40000.00000000	0.00014712
2.37500000	0.01026394	0.01026394	0.01026394	40000.00000000	0.00014867
2.40000000	0.01036871	0.01036871	0.01036871	40000.00000000	0.00015023
2.42500000	0.01047337	0.01047337	0.01047337	40000.00000000	0.00015178
2.45000000	0.01057793	0.01057793	0.01057793	40000.00000000	0.00015333
2.47500000	0.01068238	0.01068238	0.01068238	40000.00000000	0.00015488
2.50000000	0.01078673	0.01078673	0.01078673	40000.00000000	0.00015643
2.52500000	0.01089097	0.01089097	0.01089097	40000.00000000	0.00015799
2.55000000	0.01099510	0.01099510	0.01099510	40000.00000000	0.00015954
2.57500000	0.01109913	0.01109913	0.01109913	40000.00000000	0.00016109
2.60000000	0.01120305	0.01120305	0.01120305	40000.00000000	0.00016264
2.62500000	0.01130685	0.01130685	0.01130685	40000.00000000	0.00016419
2.65000000	0.01141054	0.01141054	0.01141054	40000.00000000	0.00016574
2.67500000	0.01151413	0.01151413	0.01151413	40000.00000000	0.00016728
2.70000000	0.01161759	0.01161759	0.01161759	40000.00000000	0.00016883
2.72500000	0.01172095	0.01172095	0.01172095	40000.00000000	0.00017038
2.75000000	0.01182418	0.01182418	0.01182418	40000.00000000	0.00017193
2.77500000	0.01192730	0.01192730	0.01192730	40000.00000000	0.00017348
2.80000000	0.01203031	0.01203031	0.01203031	40000.00000000	0.00017502
2.82500000	0.01213319	0.01213319	0.01213319	40000.00000000	0.00017657
2.85000000	0.01223596	0.01223596	0.01223596	40000.00000000	0.00017812
2.87500000	0.01233860	0.01233860	0.01233860	40000.00000000	0.00017966
2.90000000	0.01244112	0.01244112	0.01244112	40000.00000000	0.00018121
2.92500000	0.01254352	0.01254352	0.01254352	40000.00000000	0.00018275
2.95000000	0.01264580	0.01264580	0.01264580	40000.00000000	0.00018429
2.97500000	0.01274795	0.01274795	0.01274795	40000.00000000	0.00018584
3.00000000	0.01284997	0.01284997	0.01284997	40000.00000000	0.00018738
3.02500000	0.01295187	0.01295187	0.01295187	40000.00000000	0.00018892
3.05000000	0.01305364	0.01305364	0.01305364	40000.00000000	0.00019047
