! Time(s)	BldPitch1(rad)	BldPitch2(rad)	BldPitch3(rad)	GenTq(Nm)	Azimuth(rad)
0.00000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.00000000
0.02500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.02500000
0.05000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.05000000
0.07500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.07500000
0.10000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.10000000
0.12500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.12500000
0.15000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.15000000
0.17500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.17500000
0.20000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.20000000
0.22500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.22500000
0.25000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.25000000
0.27500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.27500000
0.30000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.30000000
0.32500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.32500000
0.35000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.35000000
0.37500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.37500000
0.40000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.40000000
0.42500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.42500000
0.45000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.45000000
0.47500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.47500000
0.50000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.50000000
0.52500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.52500000
0.55000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.55000000
0.57500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.57500000
0.60000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.60000000
0.62500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.62500000
0.65000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.65000000
0.67500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.67500000
0.70000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.70000000
0.72500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.72500000
0.75000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.75000000
0.77500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.77500000
0.80000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.80000000
0.82500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.82500000
0.85000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.85000000
0.87500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.87500000
0.90000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.90000000
0.92500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.92500000
0.95000000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.95000000
0.97500000	0.00000000	0.00000000	0.00000000	9812023.00000000	0.97500000
1.00000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.00000000
1.02500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.02500000
1.05000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.05000000
1.07500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.07500000
1.10000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.10000000
1.12500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.12500000
1.15000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.15000000
1.17500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.17500000
1.20000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.20000000
1.22500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.22500000
1.25000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.25000000
1.27500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.27500000
1.30000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.30000000
1.32500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.32500000
1.35000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.35000000
1.37500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.37500000
1.40000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.40000000
1.42500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.42500000
1.45000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.45000000
1.47500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.47500000
1.50000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.50000000
1.52500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.52500000
1.55000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.55000000
1.57500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.57500000
1.60000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.60000000
1.62500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.62500000
1.65000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.65000000
1.67500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.67500000
1.70000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.70000000
1.72500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.72500000
1.75000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.75000000
1.77500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.77500000
1.80000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.80000000
1.82500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.82500000
1.85000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.85000000
1.87500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.87500000
1.90000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.90000000
1.92500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.92500000
1.95000000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.95000000
1.97500000	0.00000000	0.00000000	0.00000000	9812023.00000000	1.97500000
2.00000000	0.00000000	0.00000000	0.00000000	9812023.00000000	2.00000000
2.02500000	0.00000000	0.00000000	0.00000000	9812023.00000000	2.02500000
