case,field,type,status,computed,reference,diff
ColemanTransformInverse.0.0.1,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.2,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.3,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   4.7799401397349564E-005
ColemanTransformInverse.0.0.4,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   3.0401645839039606E-004
ColemanTransformInverse.0.0.5,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   9.7753583601982896E-004
ColemanTransformInverse.0.0.6,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   2.2002732984267226E-003
ColemanTransformInverse.0.0.7,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   3.9991812312296024E-003
ColemanTransformInverse.0.0.8,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   6.3268515881171761E-003
ColemanTransformInverse.0.0.9,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   9.0903699920562055E-003
ColemanTransformInverse.0.0.10,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   1.2176232053912434E-002
ColemanTransformInverse.0.0.11,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   1.5469744067257544E-002
ColemanTransformInverse.0.0.12,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   1.8868451528363042E-002
ColemanTransformInverse.0.0.13,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   2.2289954324819942E-002
ColemanTransformInverse.0.0.14,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   2.5657701719034930E-002
ColemanTransformInverse.0.0.15,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   2.8924278556126618E-002
ColemanTransformInverse.0.0.16,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   3.2087058728637569E-002
ColemanTransformInverse.0.0.17,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   3.5155668099873964E-002
ColemanTransformInverse.0.0.18,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   3.8147314845290686E-002
ColemanTransformInverse.0.0.19,pitcomipc_1p,array,OUT_TOL,,,n_diff=           3 rms=   4.1082470319771365E-002
