case,field,type,status,computed,reference,diff
ColemanTransformInverse.0.0.1,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.2,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.3,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.4,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.5,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.6,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.7,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.8,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.9,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.10,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.11,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.13,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.14,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.15,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.16,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.17,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.18,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.19,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.20,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12000,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12001,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12002,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12003,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12004,pitcomipc_1p,array,IDENTICAL,,,size=           3
ColemanTransformInverse.0.0.12005,pitcomipc_1p,array,IDENTICAL,,,size=           3
