case,field,type,status,computed,reference,diff
Conv2UC.0.0.1,filelineuc,scalar,OUT_TOL,parameter,PARAMETER,
Conv2UC.0.0.2,filelineuc,scalar,OUT_TOL,File,FILE,
Conv2UC.0.0.3,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.4,filelineuc,scalar,IDENTICAL,SIMULATION,SIMULATION,
Conv2UC.0.0.5,filelineuc,scalar,OUT_TOL,LoggingLevel,LOGGINGLEVEL,
Conv2UC.0.0.6,filelineuc,scalar,OUT_TOL,DT_Out,DT_OUT,
Conv2UC.0.0.7,filelineuc,scalar,OUT_TOL,Ext_Interface,EXT_INTERFACE,
Conv2UC.0.0.8,filelineuc,scalar,OUT_TOL,Echo,ECHO,
Conv2UC.0.0.9,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.10,filelineuc,scalar,IDENTICAL,CONTROLLER,CONTROLLER,
Conv2UC.0.0.11,filelineuc,scalar,OUT_TOL,F_LPFType,F_LPFTYPE,
Conv2UC.0.0.12,filelineuc,scalar,OUT_TOL,IPC_ControlMode,IPC_CONTROLMODE,
Conv2UC.0.0.13,filelineuc,scalar,OUT_TOL,VS_ControlMode,VS_CONTROLMODE,
Conv2UC.0.0.14,filelineuc,scalar,OUT_TOL,VS_ConstPower,VS_CONSTPOWER,
Conv2UC.0.0.15,filelineuc,scalar,IDENTICAL,VS_FBP,VS_FBP,
Conv2UC.0.0.16,filelineuc,scalar,OUT_TOL,PC_ControlMode,PC_CONTROLMODE,
Conv2UC.0.0.17,filelineuc,scalar,OUT_TOL,Y_ControlMode,Y_CONTROLMODE,
Conv2UC.0.0.18,filelineuc,scalar,OUT_TOL,SS_Mode,SS_MODE,
Conv2UC.0.0.19,filelineuc,scalar,OUT_TOL,PRC_Mode,PRC_MODE,
Conv2UC.0.0.20,filelineuc,scalar,OUT_TOL,WE_Mode,WE_MODE,
Conv2UC.0.0.12000,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12001,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12002,filelineuc,scalar,IDENTICAL,11.8533,11.8533,
Conv2UC.0.0.12003,filelineuc,scalar,OUT_TOL,1.2291e+02,1.2291E+02,
Conv2UC.0.0.12004,filelineuc,scalar,OUT_TOL,4.2557e+04,4.2557E+04,
Conv2UC.0.0.12005,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12006,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12007,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12008,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12009,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12010,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12011,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12012,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12013,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12014,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12015,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12016,filelineuc,scalar,OUT_TOL,length,LENGTH,
Conv2UC.0.0.12017,filelineuc,scalar,OUT_TOL,be,BE,
Conv2UC.0.0.12018,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12019,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12020,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23900,filelineuc,scalar,IDENTICAL,VS_KP,VS_KP,
Conv2UC.0.0.23901,filelineuc,scalar,IDENTICAL,VS_KI,VS_KI,
Conv2UC.0.0.23902,filelineuc,scalar,OUT_TOL,VS_TSRopt,VS_TSROPT,
Conv2UC.0.0.23903,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23904,filelineuc,scalar,IDENTICAL,FIXED,FIXED,
Conv2UC.0.0.23905,filelineuc,scalar,OUT_TOL,VS_FBP_n,VS_FBP_N,
Conv2UC.0.0.23906,filelineuc,scalar,IDENTICAL,3.2897,3.2897,
Conv2UC.0.0.23907,filelineuc,scalar,OUT_TOL,3.7988e+01,3.7988E+01,
Conv2UC.0.0.23908,filelineuc,scalar,OUT_TOL,3.3343e+03,3.3343E+03,
Conv2UC.0.0.23909,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23910,filelineuc,scalar,IDENTICAL,SETPOINT,SETPOINT,
Conv2UC.0.0.23911,filelineuc,scalar,OUT_TOL,SS_VSGain,SS_VSGAIN,
Conv2UC.0.0.23912,filelineuc,scalar,OUT_TOL,SS_PCGain,SS_PCGAIN,
Conv2UC.0.0.23913,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23914,filelineuc,scalar,IDENTICAL,POWER,POWER,
Conv2UC.0.0.23915,filelineuc,scalar,OUT_TOL,PRC_Comm,PRC_COMM,
Conv2UC.0.0.23916,filelineuc,scalar,OUT_TOL,PRC_R_Torque,PRC_R_TORQUE,
Conv2UC.0.0.23917,filelineuc,scalar,OUT_TOL,PRC_R_Speed,PRC_R_SPEED,
Conv2UC.0.0.23918,filelineuc,scalar,OUT_TOL,PRC_R_Pitch,PRC_R_PITCH,
Conv2UC.0.0.23919,filelineuc,scalar,OUT_TOL,PRC_Table_n,PRC_TABLE_N,
Conv2UC.0.0.23920,filelineuc,scalar,IDENTICAL,0.0526,0.0526,
Conv2UC.0.0.21,filelineuc,scalar,OUT_TOL,PS_Mode,PS_MODE,
