case,field,type,status,computed,reference,diff
Conv2UC.0.0.1,filelineuc,scalar,IDENTICAL,PARAMETER,PARAMETER,
Conv2UC.0.0.2,filelineuc,scalar,IDENTICAL,FILE,FILE,
Conv2UC.0.0.3,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.4,filelineuc,scalar,IDENTICAL,SIMULATION,SIMULATION,
Conv2UC.0.0.5,filelineuc,scalar,IDENTICAL,LOGGINGLEVEL,LOGGINGLEVEL,
Conv2UC.0.0.6,filelineuc,scalar,IDENTICAL,DT_OUT,DT_OUT,
Conv2UC.0.0.7,filelineuc,scalar,IDENTICAL,EXT_INTERFACE,EXT_INTERFACE,
Conv2UC.0.0.8,filelineuc,scalar,IDENTICAL,ECHO,ECHO,
Conv2UC.0.0.9,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.10,filelineuc,scalar,IDENTICAL,CONTROLLER,CONTROLLER,
Conv2UC.0.0.11,filelineuc,scalar,IDENTICAL,F_LPFTYPE,F_LPFTYPE,
Conv2UC.0.0.12,filelineuc,scalar,IDENTICAL,IPC_CONTROLMODE,IPC_CONTROLMODE,
Conv2UC.0.0.13,filelineuc,scalar,IDENTICAL,VS_CONTROLMODE,VS_CONTROLMODE,
Conv2UC.0.0.14,filelineuc,scalar,IDENTICAL,VS_CONSTPOWER,VS_CONSTPOWER,
Conv2UC.0.0.15,filelineuc,scalar,IDENTICAL,VS_FBP,VS_FBP,
Conv2UC.0.0.16,filelineuc,scalar,IDENTICAL,PC_CONTROLMODE,PC_CONTROLMODE,
Conv2UC.0.0.17,filelineuc,scalar,IDENTICAL,Y_CONTROLMODE,Y_CONTROLMODE,
Conv2UC.0.0.18,filelineuc,scalar,IDENTICAL,SS_MODE,SS_MODE,
Conv2UC.0.0.19,filelineuc,scalar,IDENTICAL,PRC_MODE,PRC_MODE,
Conv2UC.0.0.20,filelineuc,scalar,IDENTICAL,WE_MODE,WE_MODE,
Conv2UC.0.0.12000,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12001,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12002,filelineuc,scalar,IDENTICAL,11.8533,11.8533,
Conv2UC.0.0.12003,filelineuc,scalar,IDENTICAL,1.2291E+02,1.2291E+02,
Conv2UC.0.0.12004,filelineuc,scalar,IDENTICAL,4.2557E+04,4.2557E+04,
Conv2UC.0.0.12005,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12006,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12007,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12008,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12009,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12010,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12011,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12012,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12013,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12014,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12015,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12016,filelineuc,scalar,IDENTICAL,LENGTH,LENGTH,
Conv2UC.0.0.12017,filelineuc,scalar,IDENTICAL,BE,BE,
Conv2UC.0.0.12018,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12019,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.12020,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23900,filelineuc,scalar,IDENTICAL,VS_KP,VS_KP,
Conv2UC.0.0.23901,filelineuc,scalar,IDENTICAL,VS_KI,VS_KI,
Conv2UC.0.0.23902,filelineuc,scalar,IDENTICAL,VS_TSROPT,VS_TSROPT,
Conv2UC.0.0.23903,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23904,filelineuc,scalar,IDENTICAL,FIXED,FIXED,
Conv2UC.0.0.23905,filelineuc,scalar,IDENTICAL,VS_FBP_N,VS_FBP_N,
Conv2UC.0.0.23906,filelineuc,scalar,IDENTICAL,3.2897,3.2897,
Conv2UC.0.0.23907,filelineuc,scalar,IDENTICAL,3.7988E+01,3.7988E+01,
Conv2UC.0.0.23908,filelineuc,scalar,IDENTICAL,3.3343E+03,3.3343E+03,
Conv2UC.0.0.23909,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23910,filelineuc,scalar,IDENTICAL,SETPOINT,SETPOINT,
Conv2UC.0.0.23911,filelineuc,scalar,IDENTICAL,SS_VSGAIN,SS_VSGAIN,
Conv2UC.0.0.23912,filelineuc,scalar,IDENTICAL,SS_PCGAIN,SS_PCGAIN,
Conv2UC.0.0.23913,filelineuc,scalar,IDENTICAL,,,
Conv2UC.0.0.23914,filelineuc,scalar,IDENTICAL,POWER,POWER,
Conv2UC.0.0.23915,filelineuc,scalar,IDENTICAL,PRC_COMM,PRC_COMM,
Conv2UC.0.0.23916,filelineuc,scalar,IDENTICAL,PRC_R_TORQUE,PRC_R_TORQUE,
Conv2UC.0.0.23917,filelineuc,scalar,IDENTICAL,PRC_R_SPEED,PRC_R_SPEED,
Conv2UC.0.0.23918,filelineuc,scalar,IDENTICAL,PRC_R_PITCH,PRC_R_PITCH,
Conv2UC.0.0.23919,filelineuc,scalar,IDENTICAL,PRC_TABLE_N,PRC_TABLE_N,
Conv2UC.0.0.23920,filelineuc,scalar,IDENTICAL,0.0526,0.0526,
Conv2UC.0.0.21,filelineuc,scalar,IDENTICAL,PS_MODE,PS_MODE,
