case,field,type,status,computed,reference,diff
FindLine.0.0.1,linenum,scalar,IDENTICAL,41,41,
FindLine.0.0.1,line,scalar,IDENTICAL,1.0000              ! F_NotchFreqs      - Natural frequency of the notch filters. Array with length F_NumNotchFilts,1.0000              ! F_NotchFreqs      - Natural frequency of the notch filters. Array with length F_NumNotchFilts,
FindLine.0.0.1,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.10,linenum,scalar,IDENTICAL,62,62,
FindLine.0.0.10,line,scalar,IDENTICAL,0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00                  ! PC_GS_TF			- Gain-schedule table: pitch controller tf gains (derivative filter),0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00                  ! PC_GS_TF			- Gain-schedule table: pitch controller tf gains (derivative filter),
FindLine.0.0.10,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.11,linenum,scalar,IDENTICAL,72,72,
FindLine.0.0.11,line,scalar,IDENTICAL,"9.120        11.400       ! IPC_Vramp		- Start and end wind speeds for cut-in ramp function. First entry: IPC inactive, second entry: IPC fully active. [m/s]","9.120        11.400       ! IPC_Vramp		- Start and end wind speeds for cut-in ramp function. First entry: IPC inactive, second entry: IPC fully active. [m/s]",
FindLine.0.0.11,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.12,linenum,scalar,IDENTICAL,75,75,
FindLine.0.0.12,line,scalar,IDENTICAL,"0.000e+00    0.000e+00    ! IPC_KP			- Proportional gain for the individual pitch controller: first parameter for 1P reductions, second for 2P reductions, [-]","0.000e+00    0.000e+00    ! IPC_KP			- Proportional gain for the individual pitch controller: first parameter for 1P reductions, second for 2P reductions, [-]",
FindLine.0.0.12,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.13,linenum,scalar,IDENTICAL,76,76,
FindLine.0.0.13,line,scalar,IDENTICAL,"0.000e+00    0.000e+00    ! IPC_KI			- Integral gain for the individual pitch controller: first parameter for 1P reductions, second for 2P reductions, [-]","0.000e+00    0.000e+00    ! IPC_KI			- Integral gain for the individual pitch controller: first parameter for 1P reductions, second for 2P reductions, [-]",
FindLine.0.0.13,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.14,linenum,scalar,IDENTICAL,77,77,
FindLine.0.0.14,line,scalar,IDENTICAL,"0.000        0.000        ! IPC_aziOffset		- Phase offset added to the azimuth angle for the individual pitch controller, [rad].","0.000        0.000        ! IPC_aziOffset		- Phase offset added to the azimuth angle for the individual pitch controller, [rad].",
FindLine.0.0.14,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.15,linenum,scalar,IDENTICAL,92,92,
FindLine.0.0.15,line,scalar,IDENTICAL,-6.97771e+02        ! VS_KP				- Proportional gain for generator PI torque controller [-]. (Only used in the transitional 2.5 region if VS_ControlMode =/ 2),-6.97771e+02        ! VS_KP				- Proportional gain for generator PI torque controller [-]. (Only used in the transitional 2.5 region if VS_ControlMode =/ 2),
FindLine.0.0.15,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.16,linenum,scalar,IDENTICAL,93,93,
FindLine.0.0.16,line,scalar,IDENTICAL,-1.04507e+02        ! VS_KI				- Integral gain for generator PI torque controller [s]. (Only used in the transitional 2.5 region if VS_ControlMode =/ 2),-1.04507e+02        ! VS_KI				- Integral gain for generator PI torque controller [s]. (Only used in the transitional 2.5 region if VS_ControlMode =/ 2),
FindLine.0.0.16,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.17,linenum,scalar,IDENTICAL,98,98,
FindLine.0.0.17,line,scalar,IDENTICAL,3.0000       3.2897       3.5793       3.8690       4.1586       4.4483       4.7379       5.0276       5.3172       5.6069       5.8966       6.1862       6.4759       6.7655       7.0552       7.3448       7.6345       7.9241       8.2138       8.5034       8.7931       9.0828       9.3724       9.6621       9.9517       10.2414      10.5310      10.8207      11.1103      11.4000      11.8533      12.3067      12.7600      13.2133      13.6667      14.1200      14.5733      15.0267      15.4800      15.9333      16.3867      16.8400      17.2933      17.7467      18.2000      18.6533      19.1067      19.5600      20.0133      20.4667      20.9200      21.3733      21.8267      22.2800      22.7333      23.1867      23.6400      24.0933      24.5467      25.0000                    ! VS_FBP_U          - Operating schedule table: Wind speeds [m/s].,3.0000       3.2897       3.5793       3.8690       4.1586       4.4483       4.7379       5.0276       5.3172       5.6069       5.8966       6.1862       6.4759       6.7655       7.0552       7.3448       7.6345       7.9241       8.2138       8.5034       8.7931       9.0828       9.3724       9.6621       9.9517       10.2414      10.5310      10.8207      11.1103      11.4000      11.8533      12.3067      12.7600      13.2133      13.6667      14.1200      14.5733      15.0267      15.4800      15.9333      16.3867      16.8400      17.2933      17.7467      18.2000      18.6533      19.1067      19.5600      20.0133      20.4667      20.9200      21.3733      21.8267      22.2800      22.7333      23.1867      23.6400      24.0933      24.5467      25.0000                    ! VS_FBP_U          - Operating schedule table: Wind speeds [m/s].,
FindLine.0.0.17,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.18,linenum,scalar,IDENTICAL,99,99,
FindLine.0.0.18,line,scalar,IDENTICAL,3.4643e+01   3.7988e+01   4.1333e+01   4.4677e+01   4.8022e+01   5.1367e+01   5.4712e+01   5.8057e+01   6.1401e+01   6.4746e+01   6.8091e+01   7.1436e+01   7.4781e+01   7.8126e+01   8.1470e+01   8.4815e+01   8.8160e+01   9.1505e+01   9.4850e+01   9.8195e+01   1.0154e+02   1.0488e+02   1.0823e+02   1.1157e+02   1.1492e+02   1.1826e+02   1.2161e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02                 ! VS_FBP_Omega      - Operating schedule table: Generator speeds [rad/s].,3.4643e+01   3.7988e+01   4.1333e+01   4.4677e+01   4.8022e+01   5.1367e+01   5.4712e+01   5.8057e+01   6.1401e+01   6.4746e+01   6.8091e+01   7.1436e+01   7.4781e+01   7.8126e+01   8.1470e+01   8.4815e+01   8.8160e+01   9.1505e+01   9.4850e+01   9.8195e+01   1.0154e+02   1.0488e+02   1.0823e+02   1.1157e+02   1.1492e+02   1.1826e+02   1.2161e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02   1.2291e+02                 ! VS_FBP_Omega      - Operating schedule table: Generator speeds [rad/s].,
FindLine.0.0.18,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.19,linenum,scalar,IDENTICAL,100,100,
FindLine.0.0.19,line,scalar,IDENTICAL,2.7730e+03   3.3343e+03   3.9473e+03   4.6120e+03   5.3284e+03   6.0966e+03   6.9164e+03   7.7879e+03   8.7111e+03   9.6860e+03   1.0713e+04   1.1791e+04   1.2921e+04   1.4103e+04   1.5336e+04   1.6621e+04   1.7958e+04   1.9347e+04   2.0787e+04   2.2279e+04   2.3822e+04   2.5418e+04   2.7065e+04   2.8763e+04   3.0514e+04   3.2316e+04   3.4170e+04   3.6641e+04   3.9556e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04                 ! VS_FBP_Tau        - Operating schedule table: Generator torques [N m].,2.7730e+03   3.3343e+03   3.9473e+03   4.6120e+03   5.3284e+03   6.0966e+03   6.9164e+03   7.7879e+03   8.7111e+03   9.6860e+03   1.0713e+04   1.1791e+04   1.2921e+04   1.4103e+04   1.5336e+04   1.6621e+04   1.7958e+04   1.9347e+04   2.0787e+04   2.2279e+04   2.3822e+04   2.5418e+04   2.7065e+04   2.8763e+04   3.0514e+04   3.2316e+04   3.4170e+04   3.6641e+04   3.9556e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04   4.2557e+04                 ! VS_FBP_Tau        - Operating schedule table: Generator torques [N m].,
FindLine.0.0.19,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.2,linenum,scalar,IDENTICAL,42,42,
FindLine.0.0.2,line,scalar,IDENTICAL,"0.0000              ! F_NotchBetaNum    - Damping value of numerator (determines the width of notch). Array with length F_NumNotchFilts, [-]","0.0000              ! F_NotchBetaNum    - Damping value of numerator (determines the width of notch). Array with length F_NumNotchFilts, [-]",
FindLine.0.0.2,foundline,scalar,IDENTICAL,T,T,
FindLine.0.0.20,linenum,scalar,IDENTICAL,112,112,
