case,field,type,status,computed,reference,diff
GetRoot.0.0.1,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.2,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.3,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.4,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.5,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.6,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.7,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.8,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.9,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.10,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.11,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.13,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.14,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.15,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.16,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.17,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.18,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.19,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.20,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12000,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12001,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12002,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12003,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12004,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12005,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12006,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12007,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12008,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12009,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12010,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12011,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12012,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12013,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12014,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12015,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12016,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12017,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12018,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12019,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.12020,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23900,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23901,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23902,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23903,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23904,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23905,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23906,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23907,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23908,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23909,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23910,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23911,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23912,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23913,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23914,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23915,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23916,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23917,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23918,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23919,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
GetRoot.0.0.23920,rootname,scalar,IDENTICAL,vit_sim1,vit_sim1,
