case,field,type,status,computed,reference,diff
GetWords.0.0.1,words,array,IDENTICAL,,,size=           2
GetWords.0.0.2,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.3,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.4,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.5,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.6,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.7,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.8,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.9,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.10,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.11,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.12,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.13,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.14,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.15,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.16,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.17,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.18,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.19,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.20,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.12000,words,array,OUT_TOL,,,n_diff=           8
GetWords.0.0.12001,words,array,OUT_TOL,,,n_diff=           8
GetWords.0.0.12002,words,array,OUT_TOL,,,n_diff=          31
GetWords.0.0.12003,words,array,OUT_TOL,,,n_diff=          31
GetWords.0.0.12004,words,array,OUT_TOL,,,n_diff=          31
GetWords.0.0.12005,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.12006,words,array,OUT_TOL,,,n_diff=           4
GetWords.0.0.12007,words,array,OUT_TOL,,,n_diff=          11
GetWords.0.0.12008,words,array,OUT_TOL,,,n_diff=          10
GetWords.0.0.12009,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.12010,words,array,OUT_TOL,,,n_diff=           5
GetWords.0.0.12011,words,array,OUT_TOL,,,n_diff=          25
GetWords.0.0.12012,words,array,OUT_TOL,,,n_diff=          26
GetWords.0.0.12013,words,array,OUT_TOL,,,n_diff=          27
GetWords.0.0.12014,words,array,OUT_TOL,,,n_diff=          27
GetWords.0.0.12015,words,array,OUT_TOL,,,n_diff=          16
GetWords.0.0.12016,words,array,OUT_TOL,,,n_diff=          31
GetWords.0.0.12017,words,array,OUT_TOL,,,n_diff=          31
GetWords.0.0.12018,words,array,OUT_TOL,,,n_diff=          11
GetWords.0.0.12019,words,array,OUT_TOL,,,n_diff=          19
GetWords.0.0.12020,words,array,OUT_TOL,,,n_diff=          18
GetWords.0.0.23900,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23901,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23902,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23903,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23904,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23905,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23906,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23907,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23908,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23909,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23910,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23911,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23912,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23913,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23914,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23915,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23916,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23917,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23918,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23919,words,array,OUT_TOL,,,n_diff=           2
GetWords.0.0.23920,words,array,OUT_TOL,,,n_diff=           2
