reset,minValue,maxValue,error,kp,ki,kd,tf,DT,I0,EFilt,PTerm,ITerm_in,ITerm_upd,ITerm_sat,DTerm,raw,result
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,-997.83458567668629,-997.83458567668629,-300,nan,nan,-300
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,-998.02420123888555,-998.02420123888555,-300,nan,nan,-300
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,-0.79358814049581483,-0.79358814049581483,-300,nan,nan,-300
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,998.06462278977642,998.06462278977642,-300,nan,nan,-300
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,-997.90464919252872,-997.90464919252872,-300,nan,nan,-300
0,85.245327800290482,55.628886320228162,-0.90466063951340914,-1000,14.28354515676631,-0.7522054301531248,-1000,87.561497770815905,-240.8671571217844,nan,904.66063951340914,-671.26158622315472,-1802.7103416289779,55.628886320228162,nan,nan,55.628886320228162
0,-87.220939608851694,772.68925145349533,0.1921093487287342,-251.67660150118843,-397.47279667760859,0.7300167613490085,1000,-753.10017292906764,-295.18970027939815,nan,-48.349428004654477,-743.34343353905172,56762.060395695284,772.68925145349533,nan,nan,-87.220939608851694
0,-21.993289342471936,-431.77247385359419,38.85120901794479,0.74156497473248417,77.939936171078472,-959.42467520780212,-10.916862664939609,1000,-962.61243243583453,nan,28.81069583371869,357.32454710479044,3028418.0755749503,-431.77247385359419,nan,nan,-431.77247385359419
0,521.56194070215258,-996.72479396023709,-958.81102018999593,0.72170721383072367,48.707850628297926,-0.92181727981080019,1000,-0.98238987874587547,-1000,nan,-691.98082997151573,-524.49677632668795,45354.705915291161,-996.72479396023709,nan,nan,-996.72479396023709
0,36.51070171862871,-398.93082378185585,0.43386262451229629,71.680611822080735,0.40654603384639026,236.59564566442737,-1000,920.51699101756674,1000,nan,31.099538371775079,-239.85236432349035,-77.486855904759324,-398.93082378185585,nan,nan,-398.93082378185585
0,-460.99625761756567,-1000,547.14317308069928,-802.79179613968108,-0.3660644800482904,-1000,224.46069001801482,-0.25424558937311437,-1000,nan,-439242.05066301901,-147.68259519894499,-96.759827165603696,-1000,nan,nan,-1000
0,-0.54560253166003392,0.23627408713537457,-723.02487039378491,-160.91223703335444,-1000,-0.41176362571350983,-1000,-33.147652458351608,1000,nan,116343.5493258151,381.61428594615609,-23966195.508271951,-0.54560253166003392,nan,nan,-0.54560253166003392
0,-642.98517041703792,-96.019189140400258,-53.601707096153525,-716.72599056214813,671.46938084869419,-1000,-163.44562470938519,899.98642284332652,79.60969129462741,nan,38417.736614312758,-375.42005853149868,-32392601.320982873,-642.98517041703792,nan,nan,-642.98517041703792
1,0,-300,0,-300,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
1,934.77705992747985,93.707742577296358,-998.49284903136311,-0.70499159193425776,78.281251589137526,-0.26258008632202667,-55.930526108018547,994.71530990452845,-32.687636232652096,-998.49284903136288,nan,nan,nan,nan,nan,nan,-32.687636232652096
1,8.1269069986582139,13.297246814724772,81.082719759494069,-729.0711536676173,-19.932015935468115,89.89614596001357,780.79980515197508,-95.166189652443379,1000,81.082719759494069,nan,nan,nan,nan,nan,nan,1000
1,98.903816591683551,-102.83908200996893,-702.51853244144866,-90.752378102178071,-250.49536643738855,-0.62930664244149059,-38.721983317705934,905.21023676725099,-1000,-702.51853244144877,nan,nan,nan,nan,nan,nan,-1000
1,27.42689063420292,-0.72745830925235921,944.21973712734643,-93.4395385642311,-1000,-976.71431248985937,277.00471927017344,-83.492579736524348,-77.620016366317216,944.21973712734678,nan,nan,nan,nan,nan,nan,-77.620016366317216
1,1000,0.84130851637501225,-0.80841281558361944,-0.079118640220515735,30.438992061661541,-31.168914561870874,-438.43237380524869,-449.02259195239026,-371.74182164436155,-0.80841281558361933,nan,nan,nan,nan,nan,nan,-371.74182164436155
1,992.33025208702657,-347.17395291356422,1000,1000,0.70792475291100687,5.2532530061242708,-766.0566691999926,-465.1560787010647,1000,1000.0000000000001,nan,nan,nan,nan,nan,nan,1000
1,-1000,-1000,0.42700327928694692,555.99775759394095,15.798018446385464,-601.73006012679878,1000,135.05101405843979,-60.382678287631066,0.42700327928694698,nan,nan,nan,nan,nan,nan,-60.382678287631066
1,-53.573132688288148,331.42203748773414,0.45737096632987728,-33.222753715169048,-1000,-59.047085356499103,10.802643830144865,354.80826720185911,-795.13671347815841,0.45737096632987728,nan,nan,nan,nan,nan,nan,-795.13671347815841
0,0,-300,0,-300,300,-600,600,300,-600,nan,-0,-997.85824245176218,-997.85824245176218,-300,nan,nan,-300
1,0,-300,0,-300,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,1,-300,300,-600,600,300,-600,nan,-300,-997.83299635930916,89002.167003640687,-300,nan,nan,-300
1,0,-300,1,-300,300,-600,600,300,-600,1,nan,nan,nan,nan,nan,nan,-600
0,0,-300,-1,-300,300,-600,600,300,-600,nan,300,-997.96707290020288,-90997.96707290021,-300,nan,nan,-300
1,0,-300,-1,-300,300,-600,600,300,-600,-1,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0.5,-300,300,-600,600,300,-600,nan,-150,-997.80165130511466,44002.198348694888,-300,nan,nan,-300
1,0,-300,0.5,-300,300,-600,600,300,-600,0.5,nan,nan,nan,nan,nan,nan,-600
0,0,-300,-0.25,-300,300,-600,600,300,-600,nan,75,-997.87369548550589,-23497.873695485505,-300,nan,nan,-300
1,0,-300,-0.25,-300,300,-600,600,300,-600,-0.25,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0.125,-300,300,-600,600,300,-600,nan,-37.5,-997.92095799126662,10252.079042008734,-300,nan,nan,-300
1,0,-300,0.125,-300,300,-600,600,300,-600,0.125,nan,nan,nan,nan,nan,nan,-600
0,0,-300,-1000,-300,300,-600,600,300,-600,nan,300000,-997.82783345782548,-90000997.827833459,-300,nan,nan,-300
1,0,-300,-1000,-300,300,-600,600,300,-600,-1000,nan,nan,nan,nan,nan,nan,-600
0,0,-300,1000,-300,300,-600,600,300,-600,nan,-300000,-997.92167973149265,89999002.078320265,-300,nan,nan,-300
1,0,-300,1000,-300,300,-600,600,300,-600,1000,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,0,300,-600,600,300,-600,nan,0,-997.9563676544368,-997.9563676544368,-300,nan,nan,-300
1,0,-300,0,0,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,1,300,-600,600,300,-600,nan,0,-997.88092484032495,-997.88092484032495,-300,nan,nan,-300
1,0,-300,0,1,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-1,300,-600,600,300,-600,nan,-0,-997.9882477563242,-997.9882477563242,-300,nan,nan,-300
1,0,-300,0,-1,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,0.5,300,-600,600,300,-600,nan,0,-997.94249507573716,-997.94249507573716,-300,nan,nan,-300
1,0,-300,0,0.5,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-0.25,300,-600,600,300,-600,nan,-0,-998.01527370929898,-998.01527370929898,-300,nan,nan,-300
1,0,-300,0,-0.25,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,0.125,300,-600,600,300,-600,nan,0,-997.90712734995952,-997.90712734995952,-300,nan,nan,-300
1,0,-300,0,0.125,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-1000,300,-600,600,300,-600,nan,-0,-997.86279782811562,-997.86279782811562,-300,nan,nan,-300
1,0,-300,0,-1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,1000,300,-600,600,300,-600,nan,0,-997.90686274912957,-997.90686274912957,-300,nan,nan,-300
1,0,-300,0,1000,300,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-300,0,-600,600,300,-600,nan,-0,-998.04410122658965,-998.04410122658965,-300,nan,nan,-300
1,0,-300,0,-300,0,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-300,1,-600,600,300,-600,nan,-0,-997.95631982443297,-997.95631982443297,-300,nan,nan,-300
1,0,-300,0,-300,1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
0,0,-300,0,-300,-1,-600,600,300,-600,nan,-0,-997.96828917130233,-997.96828917130233,-300,nan,nan,-300
1,0,-300,0,-300,-1,-600,600,300,-600,0,nan,nan,nan,nan,nan,nan,-600
