case,field,type,status,computed,reference,diff
PIIController.0.0.1,istatus,scalar,IDENTICAL,1,1,
PIIController.0.0.1,alreadyinitialized,scalar,IDENTICAL,0,0,
PIIController.0.0.1,restartwse,scalar,IDENTICAL,1,1,
PIIController.0.0.1,time,scalar,IDENTICAL,2.5000000372529030E-002,2.5000000372529030E-002,
PIIController.0.0.1,dt,scalar,IDENTICAL,2.5000000372529030E-002,2.5000000372529030E-002,
PIIController.0.0.1,writethisstep,scalar,IDENTICAL,F,F,
PIIController.0.0.1,n_dt,scalar,IDENTICAL,1,1,
PIIController.0.0.1,time_last,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,vs_genpwr,scalar,IDENTICAL,38.421710968017578,38.421710968017578,
PIIController.0.0.1,genspeed,scalar,IDENTICAL,40.700965881347656,40.700965881347656,
PIIController.0.0.1,rotspeed,scalar,IDENTICAL,0.41959756612777710,0.41959756612777710,
PIIController.0.0.1,nacheading,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,nacvane,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,nacvanef,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,winddir,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,horwindv,scalar,IDENTICAL,9.0000000000000000,9.0000000000000000,
PIIController.0.0.1,horwindv_f,scalar,IDENTICAL,9.9989538954650747,9.9989538954650747,
PIIController.0.0.1,rootmoop,array,IDENTICAL,,,size=           3
PIIController.0.0.1,rootmoopf,array,IDENTICAL,,,size=           3
PIIController.0.0.1,blpitch,array,IDENTICAL,,,size=           3
PIIController.0.0.1,blpitchcmeas,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,azimuth,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,ol_azimuth,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,azunwrapped,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,azerror,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,gentqaz,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,azbuffer,array,IDENTICAL,,,size=           2
PIIController.0.0.1,numbl,scalar,IDENTICAL,3,3,
PIIController.0.0.1,fa_acc_tt,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,ss_acc_tt,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,fa_acc_nac,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,nacimu_fa_racc,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,fa_acchpf,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,fa_acchpfi,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
PIIController.0.0.1,fa_pitcom,array,IDENTICAL,,,size=           3
PIIController.0.0.1,vs_refspd,scalar,IDENTICAL,115.47606528525367,115.47606528525367,
