WriteRestartFile checkpoint layout, derived from rosco/controller/src/ROSCO_IO.f90
  items (WRITE statements): 307
  ACC_INFILE extent read from the file: 45
  predicted total bytes: 460813
  vit_chkp36100.RO.chkp: 460813 bytes
  LAYOUT CHECK: PASS

CENSUS over 195 reference checkpoint(s) in pre
  distinct file lengths: [460813]
  laid out with this table: 195 of 195  (the rest have a different ACC_INFILE extent)
  VARIES across the corpus : 180
  constant and NON-zero    : 31
  constant and ZERO        : 96   <- no mutant that only moves one of these can die here

  offset   size state      item
        0      4 const      LocalVar%iStatus
        4      4 const      LocalVar%AlreadyInitialized
        8      4 const      LocalVar%RestartWSE
       12      8 VARIES     LocalVar%Time
       20      8 VARIES     LocalVar%DT
       28      4 const-zero LocalVar%WriteThisStep
       32      4 VARIES     LocalVar%n_DT
       36      8 const-zero LocalVar%Time_Last
       44      8 VARIES     LocalVar%VS_GenPwr
       52      8 VARIES     LocalVar%GenSpeed
       60      8 VARIES     LocalVar%RotSpeed
       68      8 VARIES     LocalVar%NacHeading
       76      8 VARIES     LocalVar%NacVane
       84      8 VARIES     LocalVar%NacVaneF
       92      8 VARIES     LocalVar%WindDir
      100      8 VARIES     LocalVar%HorWindV
      108      8 VARIES     LocalVar%HorWindV_F
      116      8 VARIES     LocalVar%rootMOOP(1)
      124      8 VARIES     LocalVar%rootMOOP(2)
      132      8 VARIES     LocalVar%rootMOOP(3)
      140      8 VARIES     LocalVar%rootMOOPF(1)
      148      8 VARIES     LocalVar%rootMOOPF(2)
      156      8 VARIES     LocalVar%rootMOOPF(3)
      164      8 VARIES     LocalVar%BlPitch(1)
      172      8 VARIES     LocalVar%BlPitch(2)
      180      8 VARIES     LocalVar%BlPitch(3)
      188      8 VARIES     LocalVar%BlPitchCMeas
      196      8 VARIES     LocalVar%Azimuth
      204      8 const-zero LocalVar%OL_Azimuth
      212      8 const-zero LocalVar%AzUnwrapped
      220      8 const-zero LocalVar%AzError
      228      8 const-zero LocalVar%GenTqAz
      236      8 const-zero LocalVar%AzBuffer(1)
      244      8 const-zero LocalVar%AzBuffer(2)
      252      4 const      LocalVar%NumBl
      256      8 VARIES     LocalVar%FA_Acc_TT
      264      8 const-zero LocalVar%SS_Acc_TT
      272      8 VARIES     LocalVar%FA_Acc_Nac
      280      8 VARIES     LocalVar%NacIMU_FA_RAcc
      288      8 VARIES     LocalVar%FA_AccHPF
      296      8 const-zero LocalVar%FA_AccHPFI
      304      8 const-zero LocalVar%FA_PitCom(1)
      312      8 const-zero LocalVar%FA_PitCom(2)
      320      8 const-zero LocalVar%FA_PitCom(3)
      328      8 VARIES     LocalVar%VS_RefSpd
      336      8 VARIES     LocalVar%VS_RefSpd_TSR
      344      8 const-zero LocalVar%VS_RefSpd_TRA
      352      8 const-zero LocalVar%VS_RefSpd_RL
      360      8 VARIES     LocalVar%PC_RefSpd
      368      8 VARIES     LocalVar%PC_RefSpd_SS
      376      8 const      LocalVar%PC_RefSpd_PRC
      384      8 VARIES     LocalVar%RotSpeedF
      392      8 VARIES     LocalVar%GenSpeedF
      400      8 VARIES     LocalVar%GenTq
      408      8 VARIES     LocalVar%GenTqMeas
      416      8 const-zero LocalVar%GenArTq
      424      8 const-zero LocalVar%GenBrTq
      432      8 VARIES     LocalVar%VS_KOmega2_GenTq
      440      8 VARIES     LocalVar%VS_ConstPwr_GenTq
      448      8 VARIES     LocalVar%IPC_PitComF(1)
      456      8 VARIES     LocalVar%IPC_PitComF(2)
      464      8 VARIES     LocalVar%IPC_PitComF(3)
      472      8 VARIES     LocalVar%PC_KP
      480      8 VARIES     LocalVar%PC_KI
      488      8 const-zero LocalVar%PC_KD
      496      8 const-zero LocalVar%PC_TF
      504      8 const      LocalVar%PC_MaxPit
      512      8 VARIES     LocalVar%PC_MinPit
      520      8 VARIES     LocalVar%PC_PitComT
      528      8 VARIES     LocalVar%PC_PitComT_Last
      536      8 VARIES     LocalVar%BlPitchCMeasF
      544      8 const-zero LocalVar%PC_PitComT_IPC(1)
      552      8 const-zero LocalVar%PC_PitComT_IPC(2)
      560      8 const-zero LocalVar%PC_PitComT_IPC(3)
      568      8 VARIES     LocalVar%PC_PwrErr
      576      8 VARIES     LocalVar%PC_SpdErr
      584      8 VARIES     LocalVar%IPC_AxisTilt_1P
      592      8 VARIES     LocalVar%IPC_AxisYaw_1P
      600      8 const-zero LocalVar%IPC_AxisTilt_2P
      608      8 const-zero LocalVar%IPC_AxisYaw_2P
      616      8 VARIES     LocalVar%axisTilt_1P
      624      8 VARIES     LocalVar%axisYaw_1P
      632      8 VARIES     LocalVar%axisYawF_1P
      640      8 VARIES     LocalVar%axisTilt_2P
      648      8 VARIES     LocalVar%axisYaw_2P
      656      8 const-zero LocalVar%axisYawF_2P
      664      8 VARIES     LocalVar%IPC_KI(1)
      672      8 VARIES     LocalVar%IPC_KI(2)
