case,field,type,status,computed,reference,diff
identity.0.0.1,istatus,scalar,IDENTICAL,1,1,
identity.0.0.1,alreadyinitialized,scalar,IDENTICAL,0,0,
identity.0.0.1,restartwse,scalar,IDENTICAL,1,1,
identity.0.0.1,time,scalar,IDENTICAL,15.524999618530273,15.524999618530273,
identity.0.0.1,dt,scalar,IDENTICAL,2.5000000372529030E-002,2.5000000372529030E-002,
identity.0.0.1,writethisstep,scalar,IDENTICAL,F,F,
identity.0.0.1,n_dt,scalar,IDENTICAL,621,621,
identity.0.0.1,time_last,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,vs_genpwr,scalar,IDENTICAL,23349.656250000000,23349.656250000000,
identity.0.0.1,genspeed,scalar,IDENTICAL,92.248512268066406,92.248512268066406,
identity.0.0.1,rotspeed,scalar,IDENTICAL,0.95101559162139893,0.95101559162139893,
identity.0.0.1,nacheading,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,nacvane,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,nacvanef,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,winddir,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,horwindv,scalar,IDENTICAL,7.0000000000000000,7.0000000000000000,
identity.0.0.1,horwindv_f,scalar,IDENTICAL,7.8207313700070804,7.8207313700070804,
identity.0.0.1,rootmoop,array,IDENTICAL,,,size=           3
identity.0.0.1,rootmoopf,array,IDENTICAL,,,size=           3
identity.0.0.1,blpitch,array,IDENTICAL,,,size=           3
identity.0.0.1,blpitchcmeas,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,azimuth,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,ol_azimuth,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,azunwrapped,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,azerror,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,gentqaz,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,azbuffer,array,IDENTICAL,,,size=           2
identity.0.0.1,numbl,scalar,IDENTICAL,3,3,
identity.0.0.1,fa_acc_tt,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,ss_acc_tt,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,fa_acc_nac,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,nacimu_fa_racc,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,fa_acchpf,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
identity.0.0.1,fa_acchpfi,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
