case,field,type,status,computed,reference,diff
interp1d.0.0.1,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.1,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.1,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.1,a_op,scalar,IDENTICAL,-4.2936159778667923E-002,-4.2936159778667923E-002,
interp1d.0.0.2,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.2,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.2,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.2,a_op,scalar,IDENTICAL,-4.2936212681377268E-002,-4.2936212681377268E-002,
interp1d.0.0.3,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.3,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.3,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.3,a_op,scalar,IDENTICAL,-4.2936237199998749E-002,-4.2936237199998749E-002,
interp1d.0.0.4,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.4,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.4,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.4,a_op,scalar,IDENTICAL,-4.2936203485176877E-002,-4.2936203485176877E-002,
interp1d.0.0.5,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.5,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.5,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.5,a_op,scalar,IDENTICAL,-4.2936089764569377E-002,-4.2936089764569377E-002,
interp1d.0.0.6,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.6,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.6,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.6,a_op,scalar,IDENTICAL,-4.2935876412996274E-002,-4.2935876412996274E-002,
interp1d.0.0.7,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.7,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.7,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.7,a_op,scalar,IDENTICAL,-4.2935544512077407E-002,-4.2935544512077407E-002,
interp1d.0.0.8,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.8,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.8,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.8,a_op,scalar,IDENTICAL,-4.2935075398192676E-002,-4.2935075398192676E-002,
interp1d.0.0.9,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.9,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.9,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.9,a_op,scalar,IDENTICAL,-4.2934450507671106E-002,-4.2934450507671106E-002,
interp1d.0.0.10,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.10,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.10,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.10,a_op,scalar,IDENTICAL,-4.2933651325022894E-002,-4.2933651325022894E-002,
interp1d.0.0.11,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.11,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.11,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.11,a_op,scalar,IDENTICAL,-4.2932659377068028E-002,-4.2932659377068028E-002,
interp1d.0.0.12,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.12,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.12,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.12,a_op,scalar,IDENTICAL,-4.2931456243693530E-002,-4.2931456243693530E-002,
interp1d.0.0.13,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.13,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.13,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.13,a_op,scalar,IDENTICAL,-4.2930023576845583E-002,-4.2930023576845583E-002,
interp1d.0.0.14,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.14,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.14,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.14,a_op,scalar,IDENTICAL,-4.2928343132869237E-002,-4.2928343132869237E-002,
interp1d.0.0.15,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.15,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.15,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.15,a_op,scalar,IDENTICAL,-4.2926396792934841E-002,-4.2926396792934841E-002,
interp1d.0.0.16,size_avcmsg,scalar,IDENTICAL,500,500,
interp1d.0.0.16,avifail,scalar,IDENTICAL,0,0,
interp1d.0.0.16,errstat,scalar,IDENTICAL,0,0,
interp1d.0.0.16,a_op,scalar,IDENTICAL,-4.2924166586512255E-002,-4.2924166586512255E-002,
interp1d.0.0.17,size_avcmsg,scalar,IDENTICAL,500,500,
