The kernel's whole input domain, read from the shipped run's field log
(kernel.Controllers400.translation.verify_fields.csv), which records the
REFERENCE value of every compared field including the two inputs.

    x = LocalVar%NacHeading + LocalVar%NacVane        the call site's argument

    cases                          62
    distinct values of x           62      <- no duplicate, so no dead slot
    min x                    -4.4206384497
    max x                    +1.5171040094
    x == 0.0 exactly          1 case (wrap_180.0.0.1, both operands 0)
    winddir == x                   62 of 62   <- every captured call passes through

A function whose two branches turn at -180 and +180, sampled over a window
6 degrees wide. That is the kernel's ceiling here, and it is why the two stub
runs below say opposite things.

              case       nacheading          nacvane                x          winddir
    wrap_180.0.0.1       0.00000000       0.00000000       0.00000000       0.00000000
    wrap_180.0.0.2       0.00000000       0.06283175       0.06283175       0.06283175
    wrap_180.0.0.3       0.00000000       0.12566287       0.12566287       0.12566287
    wrap_180.0.0.4       0.00000000       0.18849277       0.18849277       0.18849277
    wrap_180.0.0.5       0.00000000       0.25132079       0.25132079       0.25132079
    wrap_180.0.0.6       0.00000000       0.31414633       0.31414633       0.31414633
    wrap_180.0.0.7       0.00000000       0.37696879       0.37696879       0.37696879
    wrap_180.0.0.8       0.00000000       0.43978753       0.43978753       0.43978753
    wrap_180.0.0.9       0.00000000       0.50260192       0.50260192       0.50260192
   wrap_180.0.0.10       0.00000000       0.56541133       0.56541133       0.56541133
   wrap_180.0.0.11       0.00000000       0.62821519       0.62821519       0.62821519
   wrap_180.0.0.12       0.00000000       0.69101285       0.69101285       0.69101285
   wrap_180.0.0.13       0.00000000       0.75380364       0.75380364       0.75380364
   wrap_180.0.0.14       0.00000000       0.81658705       0.81658705       0.81658705
   wrap_180.0.0.15       0.00000000       0.87936236       0.87936236       0.87936236
   wrap_180.0.0.16       0.00000000       0.94212897       0.94212897       0.94212897
   wrap_180.0.0.17       0.00000000       1.00488635       1.00488635       1.00488635
   wrap_180.0.0.18       0.00000000       1.06763381       1.06763381       1.06763381
   wrap_180.0.0.19       0.00000000       1.13037069       1.13037069       1.13037069
   wrap_180.0.0.20       0.00000000       1.19309638       1.19309638       1.19309638
wrap_180.0.0.12000       0.57324428      -0.06283175       0.51041253       0.51041253
wrap_180.0.0.12001       0.56078244      -0.00000000       0.56078244       0.56078244
wrap_180.0.0.12002       0.54832060       0.06283175       0.61115235       0.61115235
wrap_180.0.0.12003       0.53585881       0.12566287       0.66152168       0.66152168
wrap_180.0.0.12004       0.52339697       0.18849277       0.71188974       0.71188974
wrap_180.0.0.12005       0.51093513       0.25132079       0.76225591       0.76225591
wrap_180.0.0.12006       0.49847329       0.31414633       0.81261962       0.81261962
wrap_180.0.0.12007       0.48601145       0.37696879       0.86298023       0.86298023
wrap_180.0.0.12008       0.47354961       0.43978753       0.91333714       0.91333714
wrap_180.0.0.12009       0.46108777       0.50260192       0.96368969       0.96368969
wrap_180.0.0.12010       0.44862598       0.56541133       1.01403731       1.01403731
wrap_180.0.0.12011       0.43616414       0.62821519       1.06437933       1.06437933
wrap_180.0.0.12012       0.42370230       0.69101285       1.11471515       1.11471515
wrap_180.0.0.12013       0.41124046       0.75380364       1.16504410       1.16504410
wrap_180.0.0.12014       0.39877862       0.81658705       1.21536568       1.21536568
wrap_180.0.0.12015       0.38631681       0.87936236       1.26567917       1.26567917
wrap_180.0.0.12016       0.37385497       0.94212897       1.31598394       1.31598394
wrap_180.0.0.12017       0.36139313       1.00488635       1.36627948       1.36627948
wrap_180.0.0.12018       0.34893131       1.06763381       1.41656512       1.41656512
wrap_180.0.0.12019       0.33646947       1.13037069       1.46684017       1.46684017
wrap_180.0.0.12020       0.32400763       1.19309638       1.51710401       1.51710401
wrap_180.0.0.23900       1.81942750      -6.24006595      -4.42063845      -4.42063845
wrap_180.0.0.23901       1.80696561      -6.18033979      -4.37337418      -4.37337418
wrap_180.0.0.23902       1.79450392      -6.12055301      -4.32604908      -4.32604908
wrap_180.0.0.23903       1.78204203      -6.06070518      -4.27866315      -4.27866315
wrap_180.0.0.23904       1.76958014      -6.00079802      -4.23121788      -4.23121788
wrap_180.0.0.23905       1.75711835      -5.94083152      -4.18371317      -4.18371317
wrap_180.0.0.23906       1.74465656      -5.88080654      -4.13614997      -4.13614997
wrap_180.0.0.23907       1.73219467      -5.82072350      -4.08852883      -4.08852883
wrap_180.0.0.23908       1.71973288      -5.76058283      -4.04084994      -4.04084994
wrap_180.0.0.23909       1.70727099      -5.70038538      -3.99311439      -3.99311439
wrap_180.0.0.23910       1.69480920      -5.64013159      -3.94532238      -3.94532238
wrap_180.0.0.23911       1.68234731      -5.57982230      -3.89747499      -3.89747499
wrap_180.0.0.23912       1.66988552      -5.51945751      -3.84957199      -3.84957199
wrap_180.0.0.23913       1.65742374      -5.45903851      -3.80161478      -3.80161478
wrap_180.0.0.23914       1.64496184      -5.39856573      -3.75360388      -3.75360388
wrap_180.0.0.23915       1.63250006      -5.33803958      -3.70553952      -3.70553952
wrap_180.0.0.23916       1.62003816      -5.27746092      -3.65742276      -3.65742276
wrap_180.0.0.23917       1.60757637      -5.21683019      -3.60925381      -3.60925381
wrap_180.0.0.23918       1.59511448      -5.15614780      -3.56103332      -3.56103332
wrap_180.0.0.23919       1.58265269      -5.09541461      -3.51276191      -3.51276191
wrap_180.0.0.23920       1.57019091      -5.03463105      -3.46444014      -3.46444014
