case,field,type,status,computed,reference,diff
wrap_360.0.0.1,strazimuth,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
wrap_360.0.0.10,strazimuth,scalar,IDENTICAL,7.0685832792964851E-002,7.0685832792964851E-002,
wrap_360.0.0.11,strazimuth,scalar,IDENTICAL,7.8539816294999995E-002,7.8539816294999995E-002,
wrap_360.0.0.12,strazimuth,scalar,IDENTICAL,8.6393799797035140E-002,8.6393799797035140E-002,
wrap_360.0.0.12000,strazimuth,scalar,IDENTICAL,87.956742186246487,87.956742186246487,
wrap_360.0.0.12001,strazimuth,scalar,IDENTICAL,87.964594250399998,87.964594250399998,
wrap_360.0.0.12002,strazimuth,scalar,IDENTICAL,87.972446314553508,87.972446314553508,
wrap_360.0.0.12003,strazimuth,scalar,IDENTICAL,87.980298378707033,87.980298378707033,
wrap_360.0.0.12004,strazimuth,scalar,IDENTICAL,87.988160030240465,87.988160030240465,
wrap_360.0.0.12005,strazimuth,scalar,IDENTICAL,87.996012094393976,87.996012094393976,
wrap_360.0.0.12006,strazimuth,scalar,IDENTICAL,88.003864158547501,88.003864158547501,
wrap_360.0.0.12007,strazimuth,scalar,IDENTICAL,88.011716222701011,88.011716222701011,
wrap_360.0.0.12008,strazimuth,scalar,IDENTICAL,88.019568286854522,88.019568286854522,
wrap_360.0.0.12009,strazimuth,scalar,IDENTICAL,88.027429938387968,88.027429938387968,
wrap_360.0.0.12010,strazimuth,scalar,IDENTICAL,88.035282002541479,88.035282002541479,
wrap_360.0.0.12011,strazimuth,scalar,IDENTICAL,88.043134066694989,88.043134066694989,
wrap_360.0.0.12012,strazimuth,scalar,IDENTICAL,88.050986130848514,88.050986130848514,
wrap_360.0.0.12013,strazimuth,scalar,IDENTICAL,88.058838195002025,88.058838195002025,
wrap_360.0.0.12014,strazimuth,scalar,IDENTICAL,88.066699846535471,88.066699846535471,
wrap_360.0.0.12015,strazimuth,scalar,IDENTICAL,88.074551910688982,88.074551910688982,
wrap_360.0.0.12016,strazimuth,scalar,IDENTICAL,88.082403974842492,88.082403974842492,
wrap_360.0.0.12017,strazimuth,scalar,IDENTICAL,88.090256038996017,88.090256038996017,
wrap_360.0.0.12018,strazimuth,scalar,IDENTICAL,88.098108103149528,88.098108103149528,
wrap_360.0.0.12019,strazimuth,scalar,IDENTICAL,88.105969754682960,88.105969754682960,
wrap_360.0.0.12020,strazimuth,scalar,IDENTICAL,88.113821818836485,88.113821818836485,
wrap_360.0.0.13,strazimuth,scalar,IDENTICAL,9.4247783299070270E-002,9.4247783299070270E-002,
wrap_360.0.0.14,strazimuth,scalar,IDENTICAL,0.10210175743842971,0.10210175743842971,
wrap_360.0.0.15,strazimuth,scalar,IDENTICAL,0.10995574094046486,0.10995574094046486,
wrap_360.0.0.16,strazimuth,scalar,IDENTICAL,0.11780972444250000,0.11780972444250000,
wrap_360.0.0.17,strazimuth,scalar,IDENTICAL,0.12566370794453513,0.12566370794453513,
wrap_360.0.0.18,strazimuth,scalar,IDENTICAL,0.13351769144657027,0.13351769144657027,
wrap_360.0.0.19,strazimuth,scalar,IDENTICAL,0.14137166558592970,0.14137166558592970,
wrap_360.0.0.2,strazimuth,scalar,IDENTICAL,7.8539817465334456E-003,7.8539817465334456E-003,
wrap_360.0.0.20,strazimuth,scalar,IDENTICAL,0.14922564908796485,0.14922564908796485,
wrap_360.0.0.3,strazimuth,scalar,IDENTICAL,1.5707963493066891E-002,1.5707963493066891E-002,
wrap_360.0.0.4,strazimuth,scalar,IDENTICAL,2.3561945824767568E-002,2.3561945824767568E-002,
wrap_360.0.0.5,strazimuth,scalar,IDENTICAL,3.1415926986133783E-002,3.1415926986133783E-002,
wrap_360.0.0.6,strazimuth,scalar,IDENTICAL,3.9269908147499998E-002,3.9269908147499998E-002,
wrap_360.0.0.7,strazimuth,scalar,IDENTICAL,4.7123891649535135E-002,4.7123891649535135E-002,
wrap_360.0.0.8,strazimuth,scalar,IDENTICAL,5.4977870470232428E-002,5.4977870470232428E-002,
wrap_360.0.0.9,strazimuth,scalar,IDENTICAL,6.2831853972267565E-002,6.2831853972267565E-002,
